GP,Date,Loc,Opponent,GF,GA,Result,OT,tS,tPIM,tPPG,tPPO,tSHG,oS,oPIM,oPPG,oPPO,oSHG,Att,LOG,diff
1,10/7/2015,H,New York Rangers,2,3,L,REG,34,2,0,1,0,27,4,0,0,0,22104,2:28,-1
2,10/9/2015,A,New York Islanders,3,2,W,OT,35,2,1,3,1,36,6,0,2,0,15795,2:37,1
3,10/10/2015,H,New York Islanders,4,1,W,REG,34,4,1,7,0,29,24,0,2,1,21392,2:23,3
4,10/14/2015,A,Philadelphia Flyers,0,3,L,REG,30,10,0,5,0,29,10,1,6,0,19779,2:25,-3
5,10/15/2015,A,Washington Capitals,1,4,L,REG,27,4,0,1,0,24,2,1,2,0,18506,2:17,-3
6,10/17/2015,H,Columbus Blue Jackets,4,1,W,REG,30,13,2,5,0,23,19,0,2,0,21563,2:19,3
7,10/22/2015,H,Florida Panthers,3,2,W,REG,27,8,2,8,0,18,16,1,4,0,21591,2:34,1
8,10/24/2015,H,Tampa Bay Lightning,1,0,W,OT,32,8,0,3,0,21,6,0,4,0,21822,2:23,1
9,10/26/2015,H,Anaheim Ducks,1,0,W,OT,24,15,0,3,0,39,25,0,3,0,21529,2:36,1
10,10/29/2015,A,Winnipeg Jets,1,3,L,REG,46,6,1,3,0,31,6,1,3,0,15294,2:32,-2
11,10/30/2015,A,Minnesota Wild,4,5,L,REG,29,4,1,1,1,30,2,1,2,0,19140,2:43,-1
12,11/2/2015,H,Los Angeles Kings,4,2,W,REG,26,6,0,1,1,35,4,0,2,0,21534,2:28,2
13,11/4/2015,H,St. Louis Blues,5,6,L,OT,43,4,1,5,0,29,10,1,2,0,21676,2:45,-1
14,11/6/2015,A,New Jersey Devils,2,4,L,REG,29,9,0,3,0,26,11,0,2,0,16514,2:38,-2
15,11/8/2015,H,Edmonton Oilers,4,2,W,REG,28,4,1,4,0,36,10,1,1,0,21611,2:33,2
16,11/12/2015,H,New Jersey Devils,2,3,L,REG,29,6,1,5,0,22,10,1,3,0,21568,2:18,-1
17,11/14/2015,A,St. Louis Blues,4,2,W,REG,27,19,1,5,0,31,17,1,6,0,19808,2:40,2
18,11/15/2015,H,Calgary Flames,4,1,W,REG,41,4,0,1,0,26,2,0,2,0,21629,2:23,3
19,11/18/2015,A,Edmonton Oilers,4,3,W,OT,27,6,1,2,0,37,4,0,3,0,16839,2:33,1
20,11/20/2015,A,Calgary Flames,1,2,L,OT,19,4,1,3,0,37,6,0,2,0,19289,2:32,-1
21,11/21/2015,A,Vancouver Canucks,3,6,L,REG,29,13,1,2,0,20,9,3,4,0,18570,2:24,-3
22,11/25/2015,A,San Jose Sharks,5,2,W,REG,26,8,0,3,0,29,6,1,5,0,17562,2:25,3
23,11/27/2015,A,Anaheim Ducks,3,2,W,OT,32,8,1,4,0,25,10,0,3,0,17174,2:43,1
24,11/28/2015,A,Los Angeles Kings,2,3,L,OT,22,2,1,1,0,36,2,0,1,0,18482,2:29,-1
25,12/1/2015,H,Minnesota Wild,1,2,L,REG,31,8,1,3,0,36,6,0,4,0,21580,2:29,-1
26,12/3/2015,A,Ottawa Senators,3,4,L,OT,38,6,1,3,0,27,8,2,4,0,17171,2:41,-1
27,12/6/2015,H,Winnipeg Jets,3,1,W,REG,32,4,0,3,0,31,6,0,2,0,21749,2:41,2
28,12/8/2015,H,Nashville Predators,4,1,W,REG,24,2,1,3,0,37,6,0,2,0,21432,2:26,3
29,12/10/2015,A,Nashville Predators,1,5,L,REG,36,12,0,3,0,34,16,1,1,1,17113,2:31,-4
30,12/11/2015,H,Winnipeg Jets,2,0,W,REG,31,10,2,5,0,25,10,0,5,0,22021,2:22,2
31,12/13/2015,H,Vancouver Canucks,4,0,W,REG,30,4,1,2,0,30,4,0,3,0,21711,2:23,4
32,12/15/2015,H,Colorado Avalanche,0,3,L,REG,29,8,0,2,0,27,4,0,4,0,21473,2:24,-3
33,12/17/2015,H,Edmonton Oilers,4,0,W,REG,37,0,0,2,0,33,4,0,0,0,21451,2:25,4
34,12/19/2015,A,Buffalo Sabres,3,2,W,SO,28,4,1,3,0,27,6,0,2,0,18870,2:38,1
35,12/20/2015,H,San Jose Sharks,4,3,W,OT,32,11,0,1,0,36,7,1,3,0,22096,2:41,1
36,12/22/2015,A,Dallas Stars,0,4,L,REG,20,10,0,2,0,32,6,1,4,0,18532,2:26,-4
37,12/27/2015,H,Carolina Hurricanes,1,2,L,REG,36,4,0,1,0,27,6,0,0,0,22157,2:22,-1
38,12/29/2015,A,Arizona Coyotes,7,5,W,REG,28,14,3,4,1,37,8,2,8,0,17197,2:43,2
39,12/31/2015,A,Colorado Avalanche,4,3,W,OT,43,6,2,6,0,30,10,1,3,0,18048,2:29,1
40,1/3/2016,H,Ottawa Senators,3,0,W,REG,30,4,0,1,0,26,2,0,2,0,22016,2:21,3
41,1/5/2016,A,Pittsburgh Penguins,3,2,W,OT,30,2,0,2,0,36,4,0,1,0,18658,2:28,1
42,1/6/2016,H,Pittsburgh Penguins,3,1,W,REG,37,8,0,3,0,18,8,1,3,0,21908,2:27,2
43,1/8/2016,H,Buffalo Sabres,3,1,W,REG,45,4,0,1,0,29,4,0,1,0,22142,2:28,2
44,1/10/2016,H,Colorado Avalanche,6,3,W,REG,35,4,1,2,0,37,4,0,2,0,22007,2:23,3
45,1/12/2016,H,Nashville Predators,3,2,W,REG,23,12,0,4,0,43,10,1,5,0,21618,2:28,1
46,1/14/2016,A,Montreal Canadiens,2,1,W,REG,33,2,0,1,0,40,2,0,1,0,21288,2:28,1
47,1/15/2016,A,Toronto Maple Leafs,4,1,W,REG,29,6,2,6,0,29,12,0,3,0,20049,2:30,3
48,1/17/2016,H,Montreal Canadiens,5,2,W,REG,33,4,1,4,0,29,8,1,2,0,22030,2:25,3
49,1/19/2016,A,Nashville Predators,4,1,W,REG,27,6,0,2,0,39,4,0,3,0,17122,2:24,3
50,1/21/2016,A,Tampa Bay Lightning,1,2,L,REG,18,6,0,3,0,33,6,1,4,0,19092,2:22,-1
51,1/22/2016,A,Florida Panthers,0,4,L,REG,27,13,0,2,0,32,11,0,3,0,19343,2:21,-4
52,1/24/2016,H,St. Louis Blues,2,0,W,REG,25,2,1,1,0,25,2,0,1,0,22138,2:21,2
53,1/26/2016,A,Carolina Hurricanes,0,5,L,REG,26,4,0,4,0,40,8,0,2,0,14588,2:27,-5
54,2/2/2016,A,Colorado Avalanche,2,1,W,REG,42,4,0,3,0,23,6,0,2,0,18007,2:26,1
55,2/4/2016,A,Arizona Coyotes,5,4,W,OT,40,10,0,4,1,28,22,2,4,0,17125,2:46,1
56,2/6/2016,A,Dallas Stars,5,1,W,REG,26,12,1,5,2,37,12,0,6,0,18532,2:23,4
57,2/9/2016,H,San Jose Sharks,0,2,L,REG,33,2,0,3,0,27,6,1,1,0,21753,2:25,-2
58,2/11/2016,H,Dallas Stars,2,4,L,REG,46,6,0,2,0,32,6,2,2,0,22051,2:27,-2
59,2/13/2016,H,Anaheim Ducks,2,3,L,OT,23,6,1,2,0,44,6,1,3,0,22107,2:36,-1
60,2/15/2016,H,Toronto Maple Leafs,7,2,W,REG,32,8,4,7,0,37,14,1,4,0,21767,2:26,5
61,2/17/2016,A,New York Rangers,5,3,W,REG,20,4,3,4,0,34,8,2,2,0,18006,2:27,2
62,2/21/2016,A,Minnesota Wild,1,6,L,REG,32,27,0,2,0,32,10,1,6,0,32767,2:43,-5
63,2/25/2016,H,Nashville Predators,1,3,L,REG,39,4,0,1,0,32,4,0,1,0,22058,2:22,-2
64,2/28/2016,H,Washington Capitals,3,2,W,REG,23,10,1,4,0,30,10,2,5,0,22218,2:24,1
65,3/2/2016,A,Detroit Red Wings,5,2,W,REG,33,10,2,3,0,33,8,1,4,0,20027,2:28,3
66,3/3/2016,A,Boston Bruins,2,4,L,REG,27,4,1,2,0,25,4,1,2,0,17565,2:25,-2
67,3/6/2016,H,Detroit Red Wings,4,1,W,REG,26,6,2,3,0,34,8,0,3,0,22247,2:24,3
68,3/9/2016,A,St. Louis Blues,2,3,L,SO,35,4,1,4,0,30,19,2,3,0,19756,2:52,-1
69,3/11/2016,A,Dallas Stars,2,5,L,REG,23,12,0,5,0,31,10,2,6,0,18532,2:33,-3
70,3/14/2016,H,Los Angeles Kings,0,5,L,REG,32,4,0,6,0,25,12,0,2,0,22170,2:32,-5
71,3/16/2016,H,Philadelphia Flyers,2,3,L,REG,26,4,0,3,1,29,6,1,2,0,22113,2:20,-1
72,3/18/2016,A,Winnipeg Jets,4,0,W,REG,36,15,0,1,0,28,9,0,4,0,15294,2:23,4
73,3/20/2016,H,Minnesota Wild,2,3,L,SO,31,6,0,2,0,34,4,0,3,0,22059,2:50,-1
74,3/22/2016,H,Dallas Stars,2,6,L,REG,32,4,0,3,0,33,6,1,3,1,22034,2:27,-4
75,3/26/2016,A,Calgary Flames,4,1,W,REG,27,8,0,2,0,32,8,0,2,0,19289,2:23,3
76,3/27/2016,A,Vancouver Canucks,3,2,W,REG,32,6,0,1,0,28,4,0,2,0,18570,2:26,1
77,3/29/2016,A,Minnesota Wild,1,4,L,REG,19,19,0,3,1,18,9,0,3,0,19190,2:19,-3
78,4/1/2016,A,Winnipeg Jets,5,4,W,OT,27,6,1,3,0,32,6,0,3,0,15294,2:38,1
79,4/3/2016,H,Boston Bruins,6,4,W,REG,34,6,2,3,0,46,8,0,1,0,22156,2:31,2
80,4/5/2016,H,Arizona Coyotes,6,2,W,REG,32,10,3,6,1,31,21,0,6,0,21884,2:22,4
81,4/7/2016,H,St. Louis Blues,1,2,L,OT,25,11,0,2,0,35,21,0,2,0,22075,2:31,-1
82,4/9/2016,A,Columbus Blue Jackets,4,5,L,OT,26,4,1,5,0,25,20,1,2,0,19177,2:31,-1
